Country Name,2016 [YR2016]
Paraguay,0.6243024406975459
Virgin Islands (U.S.),0.7970129599388226
Philippines,0.3136074719240254
Oman,0.7506399464383325
Bosnia and Herzegovina,0.5140134067184763
Lao PDR,0.7044699823331968
Bangladesh,0.338032805174822
St. Lucia,0.8017311200104777
Nepal,0.4227806612970376
Moldova,0.5339641877702312
Libya,0.1296234736507342
"Gambia, The",0.5059275345578664
Greenland,1.0
Papua New Guinea,0.4931412604277448
Sweden,0.8021807634789431
Kazakhstan,0.5969921547017046
Togo,0.5607352488242998
Japan,0.795488467868886
Malawi,0.5728474876299704
Senegal,0.5502968075240307
Tuvalu,0.8806096724845426
Monaco,0.8667623915265725
Liberia,0.5059842050554366
Georgia,0.5309630440309633
Iceland,0.8731846807620705
Kenya,0.3185833631280276
Kosovo,0.5379815269720849
Chad,0.3293759078386069
Bolivia,0.5446048829616236
"Taiwan, China",0.7843863863427243
Mali,0.2655281018478441
Bulgaria,0.6107114589643057
Belgium,0.6849021019449193
Tajikistan,0.4364086523348137
Jordan,0.4947983140988977
Gabon,0.5740838786637221
French Guiana,0.7072560217283778
Angola,0.5306622394041345
Solomon Islands,0.6976629077011196
"Egypt, Arab Rep.",0.3010749514050942
Kiribati,0.7705897973620636
Rwanda,0.5830335934583214
United Arab Emirates,0.7095497296741995
France,0.5748551720295033
Mauritania,0.4429641212171234
Suriname,0.6280696182957747
Burundi,0.1933497510720395
Austria,0.779880833955723
Canada,0.8513835079146909
Brunei Darussalam,0.8311804663519937
Comoros,0.6012093842770325
Netherlands,0.7808576274818168
Ukraine,0.2161500772336709
Pakistan,0.0887351925760324
Denmark,0.7718189125917325
Malta,0.8156662491126149
Somalia,0.1147535658844316
Guatemala,0.4847870218551446
Colombia,0.4145317964387407
South Africa,0.5660803794364261
Guinea-Bissau,0.5052640411942931
"Micronesia, Fed. Sts.",0.8095057174847247
Botswana,0.7977489359763748
North Macedonia,0.5237359921189763
Lithuania,0.7639771745603814
Myanmar,0.4307607558719655
Algeria,0.3708835073150044
Guinea,0.515367152984104
Cote d'Ivoire,0.4099992091464092
Mongolia,0.7584084368877904
"Macao SAR, China",0.8822147062982467
Israel,0.4325589625900308
India,0.3994889215755459
Norway,0.8393121106022073
Cayman Islands,0.8309254399340323
Marshall Islands,0.7681335250669866
Eswatini,0.4951931962799482
Bermuda,0.7970129599388226
Niger,0.370674987298246
Luxembourg,0.884894233796147
Cambodia,0.6390285947300266
Australia,0.8088831681120002
Viet Nam,0.6432669250072774
Slovak Republic,0.7421116148243899
Anguilla,0.8603422073176552
Brazil,0.5184544437123358
Turkiye,0.1845535548256997
Uzbekistan,0.5390450549364206
Palau,0.7705897973620636
